,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Commissioning Group of responsibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The CCG of responsibility table contains episodes grouped according to the responsible clinical commissioning group (CCG). This does not necessarily reflect where the patient lived (see the AT of residence table) or where they were treated (see the hospital providers table). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CCGs took responsibility for commissioning secondary care in April 2013. This table has been generated by using the CCG to General Practice, and CCG to local area relationships which were created in April 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2020-21. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,
Current CCG of responsibility code and description,,,,,,,ONS Geography Code,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,"16,168,689","12,813,120","7,320,472","8,818,898","29,319","5,450,837","3,835,610","1,793,204","1,733,469",77,26,4.3,1,55,"833,902","242,787","195,579","200,878","53,202","53,754","60,403","65,949","78,089","520,940","753,322","869,553","730,120","605,320","687,179","882,142","1,024,010","1,097,854","1,165,635","1,478,409","1,409,868","1,294,357","1,008,046","685,622","4,762,051","35,762,286","1,832,129","215,592","544,237"
00L,NHS Northumberland CCG,,,,,,E38000130,"123,450","101,080","56,455","66,990",*,"44,810","28,635","21,020","6,615",63,23,3.9,1,58,"3,655","1,500","1,395","1,410",385,400,435,490,550,"3,695","4,785","4,910","4,725","4,200","4,975","6,755","8,145","9,210","11,090","13,995","12,245","10,370","7,675","5,145","44,460","224,151","21,505",605,865
00N,NHS South Tyneside CCG,,,,,,E38000163,"52,420","42,820","24,085","28,335",*,"19,070","11,550","8,730","3,471",81,33,4.8,1,57,"1,950",690,615,475,130,235,165,160,205,"1,335","2,110","2,425","2,235","1,905","2,225","2,990","3,655","4,220","4,600","5,665","4,685","4,260","3,225","1,815","17,560","124,437","6,275",600,610
00P,NHS Sunderland CCG,,,,,,E38000176,"92,025","75,935","43,330","48,690",*,"32,250","20,780","16,980","5,928",78,31,4.4,1,57,"3,300","1,310",925,880,290,285,380,390,385,"2,400","3,505","3,970","3,800","3,540","4,330","5,760","6,585","7,715","7,875","9,450","7,955","7,585","5,640","3,155","32,440","201,257","10,660",985,975
00Q,NHS Blackburn With Darwen CCG,,,,,,E38000014,"51,045","43,380","23,865","27,175",*,"19,800","15,305","3,585","4,690",108,27,3.9,1,50,"3,180","1,210","1,045","1,085",280,200,285,235,265,"1,825","2,635","2,900","2,605","2,420","2,585","3,215","3,435","3,555","3,460","4,080","3,670","3,150","2,295","1,205","15,820","107,990","8,235","1,160",920
00R,NHS Blackpool CCG,,,,,,E38000015,"60,925","46,230","27,890","33,035",*,"19,885","19,405","2,540","4,398",90,28,5.4,2,56,"2,465","1,005",685,635,240,185,170,230,275,"1,910","2,640","2,540","2,365","2,095","2,775","3,755","4,495","5,160","4,935","5,790","5,530","5,050","3,415","2,185","19,345","147,527","5,080",395,975
00T,NHS Bolton CCG,,,,,,E38000016,"75,405","63,465","33,500","41,890",20,"28,455","17,310","6,090","11,613",80,23,4.0,1,51,"4,790","1,660","1,210","1,270",340,325,320,380,450,"3,160","4,615","4,795","3,665","2,680","3,185","3,830","4,640","4,970","5,310","6,210","5,790","5,105","3,920","2,425","19,515","179,572","9,395",720,"3,790"
00V,NHS Bury CCG,,,,,,E38000024,"55,160","44,595","25,875","29,275",10,"19,165","13,025","6,315","6,093",80,31,3.8,1,54,"3,160","1,260",715,875,200,235,265,295,235,"1,760","2,405","3,040","2,485","1,950","2,295","2,800","3,470","3,745","3,975","5,240","4,755","4,445","3,040","2,165","17,070","104,213","7,375",440,"1,640"
00X,NHS Chorley And South Ribble CCG,,,,,,E38000034,"54,730","45,270","23,780","30,935",15,"17,855","15,505","5,465","6,442",120,44,4.3,1,54,"2,385",775,830,760,205,170,215,240,295,"1,925","3,360","3,415","2,475","1,740","2,245","2,905","3,290","3,700","3,735","5,760","4,930","4,455","2,905","1,840","17,880","118,691","5,775",860,"3,235"
00Y,NHS Oldham CCG,,,,,,E38000135,"68,965","56,050","31,940","37,015",10,"26,930","15,090","7,085","6,947",82,32,3.6,1,50,"4,640","1,860","1,525","1,625",440,295,275,345,380,"2,355","3,375","3,860","2,940","2,790","3,090","4,040","4,760","4,380","4,970","5,620","5,450","4,975","2,785","1,800","18,900","136,177","10,485",545,"1,515"
01A,NHS East Lancashire CCG,,,,,,E38000050,"111,520","94,145","52,785","58,720",15,"39,920","37,240","7,865","9,120",86,25,4.3,1,53,"6,065","2,395","1,950","1,810",430,345,370,440,520,"3,415","4,875","5,605","4,925","4,145","5,315","6,570","7,955","8,010","8,335","10,780","9,835","8,310","5,355","3,385","38,225","241,867","14,655","2,265","1,730"
01D,"NHS Heywood, Middleton And Rochdale CCG",,,,,,E38000080,"63,545","52,125","29,310","34,230",*,"23,540","14,645","7,515","6,420",87,34,3.5,1,52,"4,035","1,380",980,"1,070",270,270,245,305,335,"2,010","2,935","3,680","2,730","2,515","2,995","3,995","4,470","4,705","4,850","5,565","4,750","4,345","2,890","1,855","19,290","116,203","8,875",495,"1,315"
01E,NHS Greater Preston CCG,,,,,,E38000227,"59,630","50,145","24,910","34,705",20,"20,515","15,350","5,395","8,888",124,47,4.2,1,50,"3,445","1,410",970,920,240,190,225,320,390,"3,210","4,245","4,390","2,965","2,120","2,415","2,845","3,455","3,685","3,870","4,620","4,310","4,210","2,960","1,955","17,350","139,260","7,265","1,020","4,260"
01F,NHS Halton CCG,,,,,,E38000068,"44,795","33,010","19,775","25,010",10,"15,395","9,500","3,475","4,639",72,24,4.0,1,54,"1,855",780,545,615,150,180,210,235,275,"1,595","2,325","2,425","2,105","1,665","1,960","2,475","3,025","3,055","3,650","4,335","3,955","3,415","2,485","1,315","11,180","100,259","5,475",305,"2,120"
01G,NHS Salford CCG,,,,,,E38000143,"89,400","66,840","39,745","49,650",*,"27,475","17,145","9,150","13,071",75,23,4.4,1,52,"4,960","1,360",930,965,335,300,255,315,500,"3,760","5,625","6,385","4,710","3,525","3,860","4,370","6,100","5,750","5,510","7,375","6,595","6,795","5,080","3,165","22,940","197,714","9,295",690,"5,600"
01H,NHS North Cumbria CCG,,,,,,E38000215,"87,000","75,115","40,675","46,320",*,"30,680","26,810","10,835","6,793",101,34,5.8,2,57,"3,885","1,280",990,"1,090",365,255,230,290,315,"2,170","3,050","3,280","3,290","2,740","3,755","4,875","5,845","7,355","7,495","9,580","8,895","7,495","5,205","2,895","32,740","251,449","8,430",535,"1,100"
01J,NHS Knowsley CCG,,,,,,E38000091,"67,320","48,745","29,205","38,115",0,"24,665","12,260","4,555","7,268",68,20,3.6,1,54,"2,640","1,040",780,835,180,210,255,215,305,"2,420","3,600","4,205","3,235","2,435","3,035","4,250","5,010","5,335","5,265","5,290","5,050","5,480","3,795","2,165","14,750","130,777","10,145",395,"3,520"
01K,NHS Morecambe Bay CCG,,,,,,E38000228,"93,925","75,435","44,580","49,335",10,"33,160","24,000","11,385","6,895",87,30,4.9,1,58,"3,950","1,305","1,000",985,315,315,370,320,440,"2,675","3,225","3,625","2,930","2,855","3,435","4,825","6,180","7,205","7,680","10,730","9,695","9,240","6,215","4,110","30,695","225,742","11,310",320,"1,300"
01T,NHS South Sefton CCG,,,,,,E38000161,"60,170","44,565","27,010","33,155",*,"23,080","11,620","4,600","5,264",71,19,4.6,1,57,"1,840",710,645,695,155,220,200,215,245,"1,795","2,575","3,340","2,505","2,205","2,485","3,510","4,335","4,655","4,700","5,745","5,125","5,210","4,155","2,425","14,295","138,462","9,930",305,"2,095"
01V,NHS Southport And Formby CCG,,,,,,E38000170,"41,665","32,745","19,710","21,945",10,"15,660","10,605","4,325","2,158",77,22,4.8,1,61,"1,230",435,345,510,165,160,165,140,125,865,"1,075","1,335","1,385","1,210","1,610","2,060","2,560","3,070","3,255","4,210","4,570","4,400","3,615","2,425","13,065","97,224","5,575",280,485
01W,NHS Stockport CCG,,,,,,E38000174,"90,480","76,025","40,065","50,395",20,"32,930","20,610","14,075","8,409",77,28,4.2,1,55,"5,065","1,865","1,390","1,360",345,300,300,335,375,"2,450","3,555","5,000","4,025","3,145","3,555","4,370","5,340","5,840","6,215","8,130","7,835","8,060","6,735","4,300","30,410","193,599","12,485",970,"1,835"
01X,NHS St Helens CCG,,,,,,E38000172,"73,735","52,285","33,270","40,435",30,"24,415","15,145","5,530","7,190",72,22,4.0,1,57,"2,795",990,830,795,270,280,275,285,330,"2,230","3,690","3,755","3,040","2,585","3,185","3,980","4,465","5,000","4,990","7,125","7,145","7,230","5,320","2,895","17,755","154,834","8,845",485,"3,455"
01Y,NHS Tameside And Glossop CCG,,,,,,E38000182,"72,080","58,715","32,830","39,240",10,"28,595","17,185","6,165","6,770",76,25,3.6,1,52,"4,050","1,430","1,190","1,105",255,210,305,345,320,"2,515","3,750","4,060","3,540","2,885","3,615","4,215","5,195","5,030","5,185","6,180","5,905","5,065","3,425","1,885","20,185","146,760","11,785",415,"1,460"
02A,NHS Trafford CCG,,,,,,E38000187,"65,275","50,915","29,610","35,660",*,"21,245","13,535","9,595","6,538",76,23,4.5,1,57,"3,190",990,"1,110",955,280,220,230,230,245,"1,405","2,290","3,045","2,775","2,430","2,840","3,250","4,320","4,295","4,665","5,835","5,935","6,190","4,830","3,225","19,975","148,444","7,425",755,"1,400"
