,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,JANUARY,,,,England," 	115,354 "," 	450,832 "," 	566,186 "," 	18,374 "," 	137,001 "," 	155,375 "," 	22,245 "," 	463,837 "," 	897,146 "," 	765,527 "," 	844,109 "," 	724,866 "," 	498,270 "," 	1,264,870 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,JANUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,064 "," 	27,170 "," 	34,234 "," 	1,136 "," 	8,693 "," 	9,829 "," 	1,237 "," 	29,301 "," 	45,206 "," 	37,703 "," 	43,572 "," 	36,567 "," 	32,657 "," 	69,247 "
,2010-11,JANUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	15,972 "," 	63,739 "," 	79,711 "," 	2,580 "," 	16,453 "," 	19,033 "," 	3,843 "," 	75,191 "," 	129,924 "," 	107,955 "," 	123,835 "," 	102,847 "," 	80,067 "," 	182,789 "
,2010-11,JANUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	12,373 "," 	47,567 "," 	59,940 "," 	1,950 "," 	14,168 "," 	16,118 ", 	808 ," 	52,824 "," 	86,837 "," 	75,736 "," 	83,537 "," 	72,554 "," 	47,222 "," 	126,701 "
,2010-11,JANUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	9,320 "," 	39,873 "," 	49,193 "," 	1,431 "," 	13,983 "," 	15,414 ", 	680 ," 	38,531 "," 	67,978 "," 	57,835 "," 	66,386 "," 	56,236 "," 	33,894 "," 	90,416 "
,2010-11,JANUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,819 "," 	48,279 "," 	60,098 "," 	1,901 "," 	17,162 "," 	19,063 "," 	3,970 "," 	47,912 "," 	99,818 "," 	86,252 "," 	89,948 "," 	77,662 "," 	54,395 "," 	135,740 "
,2010-11,JANUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	12,287 "," 	49,092 "," 	61,379 "," 	1,670 "," 	14,279 "," 	15,949 "," 	2,011 "," 	43,878 "," 	93,448 "," 	83,225 "," 	88,237 "," 	79,774 "," 	50,013 "," 	130,545 "
,2010-11,JANUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	14,231 "," 	58,502 "," 	72,733 "," 	2,097 "," 	14,937 "," 	17,034 "," 	3,161 "," 	64,811 "," 	155,700 "," 	126,583 "," 	137,761 "," 	115,346 "," 	88,603 "," 	215,038 "
,2010-11,JANUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	9,997 "," 	32,407 "," 	42,404 "," 	2,037 "," 	9,498 "," 	11,535 "," 	1,220 "," 	35,283 "," 	72,811 "," 	62,845 "," 	70,053 "," 	60,529 "," 	39,620 "," 	102,482 "
,2010-11,JANUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	7,800 "," 	29,534 "," 	37,334 ", 	989 ," 	7,264 "," 	8,253 "," 	4,518 "," 	30,847 "," 	61,888 "," 	52,884 "," 	59,161 "," 	50,189 "," 	29,128 "," 	86,901 "
