,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,OCTOBER,,,,England," 	133,808 "," 	485,380 "," 	619,188 "," 	21,454 "," 	149,715 "," 	171,169 "," 	20,927 "," 	451,353 "," 	956,082 "," 	816,141 "," 	907,111 "," 	773,727 "," 	543,928 "," 	1,346,998 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,OCTOBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,876 "," 	31,653 "," 	39,529 "," 	1,325 "," 	10,424 "," 	11,749 "," 	1,618 "," 	26,811 "," 	49,282 "," 	41,714 "," 	48,122 "," 	40,557 "," 	33,503 "," 	75,503 "
,2011-12,OCTOBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,474 "," 	70,996 "," 	90,470 "," 	3,042 "," 	19,460 "," 	22,502 "," 	3,273 "," 	71,853 "," 	137,122 "," 	118,845 "," 	131,402 "," 	113,863 "," 	83,429 "," 	198,459 "
,2011-12,OCTOBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,797 "," 	50,370 "," 	64,167 "," 	2,452 "," 	14,856 "," 	17,308 ", 	661 ," 	50,305 "," 	93,459 "," 	79,039 "," 	90,644 "," 	75,533 "," 	51,004 "," 	131,471 "
,2011-12,OCTOBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,893 "," 	41,448 "," 	52,341 "," 	1,585 "," 	14,743 "," 	16,328 ", 	420 ," 	37,191 "," 	69,627 "," 	60,610 "," 	67,810 "," 	59,000 "," 	37,087 "," 	93,818 "
,2011-12,OCTOBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,168 "," 	50,026 "," 	64,194 "," 	2,502 "," 	17,123 "," 	19,625 "," 	3,345 "," 	46,567 "," 	105,715 "," 	89,814 "," 	97,026 "," 	80,004 "," 	59,915 "," 	141,008 "
,2011-12,OCTOBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,662 "," 	50,894 "," 	64,556 "," 	2,112 "," 	16,167 "," 	18,279 "," 	2,163 "," 	43,016 "," 	103,035 "," 	88,546 "," 	98,901 "," 	85,416 "," 	54,846 "," 	140,891 "
,2011-12,OCTOBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	16,568 "," 	64,198 "," 	80,766 "," 	2,219 "," 	16,799 "," 	19,018 "," 	2,634 "," 	64,837 "," 	165,674 "," 	134,546 "," 	148,372 "," 	123,128 "," 	95,559 "," 	228,438 "
,2011-12,OCTOBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,885 "," 	36,013 "," 	47,898 "," 	2,354 "," 	10,418 "," 	12,772 "," 	1,271 "," 	35,309 "," 	77,431 "," 	67,016 "," 	74,374 "," 	64,579 "," 	45,498 "," 	110,352 "
,2011-12,OCTOBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,908 "," 	31,160 "," 	40,068 "," 	1,130 "," 	7,288 "," 	8,418 "," 	4,634 "," 	30,917 "," 	64,560 "," 	54,490 "," 	61,945 "," 	51,749 "," 	33,529 "," 	90,303 "
