,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,APRIL,,,,England," 	119,566 "," 	422,570 "," 	542,136 "," 	19,841 "," 	133,553 "," 	153,394 "," 	18,585 "," 	438,684 "," 	866,660 "," 	693,785 "," 	821,241 "," 	656,372 "," 	479,775 "," 	1,149,382 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,APRIL,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,105 "," 	27,052 "," 	34,157 "," 	1,205 "," 	9,014 "," 	10,219 "," 	1,329 "," 	26,824 "," 	44,453 "," 	35,602 "," 	42,558 "," 	34,598 "," 	30,275 "," 	64,423 "
,2011-12,APRIL,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	17,453 "," 	60,232 "," 	77,685 "," 	2,810 "," 	16,653 "," 	19,463 "," 	3,223 "," 	70,131 "," 	124,178 "," 	100,600 "," 	119,253 "," 	95,818 "," 	75,625 "," 	169,304 "
,2011-12,APRIL,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,067 "," 	44,268 "," 	57,335 "," 	2,394 "," 	13,801 "," 	16,195 ", 	477 ," 	49,593 "," 	85,719 "," 	69,229 "," 	82,909 "," 	66,239 "," 	45,416 "," 	116,523 "
,2011-12,APRIL,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	9,790 "," 	36,854 "," 	46,644 "," 	1,432 "," 	13,643 "," 	15,075 ", 	470 ," 	36,026 "," 	63,656 "," 	52,277 "," 	62,105 "," 	50,819 "," 	30,991 "," 	81,418 "
,2011-12,APRIL,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,556 "," 	44,901 "," 	57,457 "," 	2,283 "," 	16,158 "," 	18,441 "," 	2,857 "," 	44,135 "," 	94,324 "," 	76,128 "," 	86,183 "," 	68,162 "," 	52,625 "," 	121,212 "
,2011-12,APRIL,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	12,311 "," 	45,018 "," 	57,329 "," 	1,871 "," 	14,214 "," 	16,085 "," 	1,720 "," 	41,396 "," 	89,495 "," 	72,758 "," 	85,359 "," 	69,891 "," 	47,031 "," 	119,008 "
,2011-12,APRIL,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	14,216 "," 	54,287 "," 	68,503 "," 	2,062 "," 	13,812 "," 	15,874 "," 	2,881 "," 	62,652 "," 	154,566 "," 	115,411 "," 	139,563 "," 	104,921 "," 	85,488 "," 	192,168 "
,2011-12,APRIL,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	10,532 "," 	30,267 "," 	40,799 "," 	2,117 "," 	9,133 "," 	11,250 ", 	942 ," 	34,537 "," 	69,817 "," 	56,038 "," 	67,221 "," 	53,993 "," 	40,499 "," 	92,563 "
,2011-12,APRIL,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	7,997 "," 	27,083 "," 	35,080 "," 	1,095 "," 	6,854 "," 	7,949 "," 	3,895 "," 	29,745 "," 	59,478 "," 	47,171 "," 	57,334 "," 	44,821 "," 	28,707 "," 	77,687 "
