,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,NOVEMBER,,,,England," 	137,936 "," 	521,053 "," 	658,989 "," 	21,833 "," 	161,636 "," 	183,469 "," 	22,657 "," 	448,968 "," 	975,452 "," 	881,072 "," 	926,137 "," 	837,101 "," 	554,226 "," 	1,431,202 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,NOVEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	8,067 "," 	34,116 "," 	42,183 "," 	1,328 "," 	11,254 "," 	12,582 "," 	1,707 "," 	27,154 "," 	49,402 "," 	45,228 "," 	47,728 "," 	43,937 "," 	33,996 "," 	80,315 "
,2011-12,NOVEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,710 "," 	76,802 "," 	96,512 "," 	2,944 "," 	21,094 "," 	24,038 "," 	3,551 "," 	71,602 "," 	141,707 "," 	125,926 "," 	136,336 "," 	121,234 "," 	85,627 "," 	210,005 "
,2011-12,NOVEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,265 "," 	53,350 "," 	67,615 "," 	2,563 "," 	16,055 "," 	18,618 ", 	746 ," 	50,454 "," 	95,676 "," 	84,898 "," 	93,028 "," 	81,576 "," 	51,484 "," 	139,959 "
,2011-12,NOVEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,774 "," 	44,790 "," 	56,564 "," 	1,667 "," 	16,004 "," 	17,671 ", 	549 ," 	36,977 "," 	71,511 "," 	65,373 "," 	69,805 "," 	63,774 "," 	37,656 "," 	100,450 "
,2011-12,NOVEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	14,385 "," 	54,090 "," 	68,475 "," 	2,520 "," 	18,413 "," 	20,933 "," 	3,579 "," 	46,647 "," 	105,621 "," 	95,280 "," 	96,894 "," 	85,539 "," 	59,222 "," 	148,996 "
,2011-12,NOVEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	14,325 "," 	54,604 "," 	68,929 "," 	2,176 "," 	17,282 "," 	19,458 "," 	2,340 "," 	42,566 "," 	104,293 "," 	97,612 "," 	100,720 "," 	94,482 "," 	56,159 "," 	151,690 "
,2011-12,NOVEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	17,061 "," 	67,941 "," 	85,002 "," 	2,335 "," 	18,102 "," 	20,437 "," 	2,806 "," 	63,280 "," 	170,728 "," 	145,959 "," 	152,128 "," 	133,375 "," 	99,282 "," 	240,072 "
,2011-12,NOVEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	12,166 "," 	38,774 "," 	50,940 "," 	2,279 "," 	11,486 "," 	13,765 "," 	1,409 "," 	34,650 "," 	79,847 "," 	71,946 "," 	76,967 "," 	69,176 "," 	46,206 "," 	115,860 "
,2011-12,NOVEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	9,204 "," 	33,954 "," 	43,158 "," 	1,219 "," 	8,093 "," 	9,312 "," 	5,118 "," 	31,359 "," 	64,522 "," 	60,194 "," 	62,168 "," 	57,135 "," 	33,705 "," 	97,304 "
,2011-12,NOVEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,558 "," 	56,761 "," 	71,319 "," 	2,266 "," 	20,028 "," 	22,294 ", 	847 ," 	42,348 "," 	90,853 "," 	86,354 "," 	89,074 "," 	84,572 "," 	48,740 "," 	140,127 "
,2011-12,NOVEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,421 "," 	5,871 "," 	8,292 ", 	536 ," 	3,825 "," 	4,361 ", 	5 ," 	1,931 "," 	1,292 "," 	2,302 "," 	1,289 "," 	2,301 "," 	2,149 "," 	6,424 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	866 ," 	3,621 "," 	4,487 ", 	191 ," 	1,289 "," 	1,480 ", 	174 ," 	2,861 "," 	5,298 "," 	4,742 "," 	5,144 "," 	4,575 "," 	4,131 "," 	10,045 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	618 ," 	3,010 "," 	3,628 ", 	92 ," 	1,003 "," 	1,095 ", 	153 ," 	2,570 "," 	4,319 "," 	4,194 "," 	4,097 "," 	4,008 "," 	3,160 "," 	7,413 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	297 ," 	1,016 "," 	1,313 ", 	35 , 	266 , 	301 , 	15 , 	920 ," 	1,438 "," 	1,351 "," 	1,378 "," 	1,296 ", 	868 ," 	2,039 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	514 ," 	2,231 "," 	2,745 ", 	58 , 	696 , 	754 , 	78 ," 	1,695 "," 	2,971 "," 	2,924 "," 	2,928 "," 	2,896 "," 	1,424 "," 	4,305 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	297 ," 	1,159 "," 	1,456 ", 	39 , 	219 , 	258 , 	1 , 	982 ," 	1,675 "," 	1,450 "," 	1,599 "," 	1,428 "," 	1,175 "," 	2,974 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	652 ," 	2,790 "," 	3,442 ", 	135 , 	971 ," 	1,106 ", 	599 ," 	2,353 "," 	4,222 "," 	3,839 "," 	4,097 "," 	3,755 "," 	2,165 "," 	6,515 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	530 ," 	2,286 "," 	2,816 ", 	61 , 	755 , 	816 , 	70 ," 	1,466 "," 	3,672 "," 	3,000 "," 	3,501 "," 	2,810 "," 	2,814 "," 	5,591 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	965 ," 	3,924 "," 	4,889 ", 	178 ," 	1,328 "," 	1,506 ", 	131 ," 	2,974 "," 	6,078 "," 	4,924 "," 	5,993 "," 	4,873 "," 	5,174 "," 	8,945 "
,2011-12,NOVEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	370 ," 	1,517 "," 	1,887 ", 	86 , 	728 , 	814 , 	113 ," 	1,548 "," 	2,211 "," 	2,143 "," 	2,092 "," 	2,045 "," 	1,507 "," 	3,592 "
