,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,AUGUST,,,,England," 	128,995 "," 	483,740 "," 	612,735 "," 	21,582 "," 	150,940 "," 	172,522 "," 	22,057 "," 	436,133 "," 	957,833 "," 	804,040 "," 	909,070 "," 	762,671 "," 	532,317 "," 	1,326,879 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,AUGUST,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,701 "," 	31,125 "," 	38,826 "," 	1,279 "," 	10,742 "," 	12,021 "," 	1,543 "," 	26,734 "," 	49,156 "," 	41,116 "," 	47,471 "," 	40,042 "," 	33,362 "," 	74,233 "
,2011-12,AUGUST,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	18,514 "," 	69,816 "," 	88,330 "," 	2,924 "," 	18,891 "," 	21,815 "," 	3,604 "," 	69,392 "," 	138,528 "," 	116,435 "," 	133,035 "," 	111,380 "," 	82,883 "," 	196,074 "
,2011-12,AUGUST,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,623 "," 	50,461 "," 	64,084 "," 	2,399 "," 	15,541 "," 	17,940 ", 	638 ," 	49,100 "," 	96,634 "," 	79,147 "," 	93,851 "," 	75,801 "," 	49,971 "," 	130,945 "
,2011-12,AUGUST,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,532 "," 	41,548 "," 	52,080 "," 	1,630 "," 	14,896 "," 	16,526 ", 	484 ," 	36,387 "," 	70,516 "," 	61,046 "," 	68,801 "," 	59,349 "," 	35,106 "," 	94,320 "
,2011-12,AUGUST,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,473 "," 	49,530 "," 	63,003 "," 	2,501 "," 	17,398 "," 	19,899 "," 	3,507 "," 	43,477 "," 	103,664 "," 	86,956 "," 	95,630 "," 	77,860 "," 	59,186 "," 	138,626 "
,2011-12,AUGUST,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,720 "," 	52,711 "," 	66,431 "," 	2,213 "," 	16,778 "," 	18,991 "," 	2,159 "," 	41,412 "," 	102,714 "," 	87,410 "," 	98,249 "," 	84,553 "," 	53,326 "," 	139,757 "
,2011-12,AUGUST,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,625 "," 	61,983 "," 	77,608 "," 	2,247 "," 	15,778 "," 	18,025 "," 	3,367 "," 	62,263 "," 	166,329 "," 	131,522 "," 	148,968 "," 	120,099 "," 	94,186 "," 	221,470 "
,2011-12,AUGUST,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,628 "," 	36,378 "," 	48,006 "," 	2,446 "," 	10,739 "," 	13,185 "," 	1,227 "," 	34,317 "," 	78,371 "," 	65,324 "," 	75,641 "," 	62,942 "," 	44,110 "," 	106,106 "
,2011-12,AUGUST,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,392 "," 	30,266 "," 	38,658 "," 	1,162 "," 	7,124 "," 	8,286 "," 	4,719 "," 	29,747 "," 	64,496 "," 	55,830 "," 	61,587 "," 	52,918 "," 	32,552 "," 	92,163 "
,2011-12,AUGUST,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,421 "," 	53,892 "," 	67,313 "," 	2,109 "," 	18,930 "," 	21,039 ", 	809 ," 	41,435 "," 	85,928 "," 	77,314 "," 	84,341 "," 	75,789 "," 	45,613 "," 	127,470 "
