,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2011-12,FEBRUARY,,,,England," 	129,306 "," 	495,177 "," 	624,483 "," 	19,835 "," 	152,909 "," 	172,744 "," 	21,725 "," 	446,044 "," 	961,608 "," 	792,234 "," 	914,764 "," 	751,521 "," 	536,553 "," 	1,314,131 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,FEBRUARY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,557 "," 	32,122 "," 	39,679 "," 	1,129 "," 	10,702 "," 	11,831 "," 	1,627 "," 	27,780 "," 	49,519 "," 	39,782 "," 	48,023 "," 	38,579 "," 	32,766 "," 	73,154 "
,2011-12,FEBRUARY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,104 "," 	73,748 "," 	92,852 "," 	2,790 "," 	20,955 "," 	23,745 "," 	3,715 "," 	71,742 "," 	140,870 "," 	115,573 "," 	136,513 "," 	111,644 "," 	83,163 "," 	195,424 "
,2011-12,FEBRUARY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	13,401 "," 	52,384 "," 	65,785 "," 	2,512 "," 	15,971 "," 	18,483 ", 	669 ," 	49,482 "," 	94,993 "," 	76,374 "," 	92,416 "," 	73,674 "," 	51,190 "," 	130,292 "
,2011-12,FEBRUARY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	10,355 "," 	42,584 "," 	52,939 "," 	1,437 "," 	15,326 "," 	16,763 ", 	474 ," 	36,907 "," 	69,691 "," 	58,481 "," 	68,041 "," 	56,894 "," 	35,115 "," 	92,139 "
,2011-12,FEBRUARY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,458 "," 	51,747 "," 	65,205 "," 	2,141 "," 	18,088 "," 	20,229 "," 	3,582 "," 	47,872 "," 	107,233 "," 	85,959 "," 	97,941 "," 	76,267 "," 	60,653 "," 	135,990 "
,2011-12,FEBRUARY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,587 "," 	51,196 "," 	64,783 "," 	2,019 "," 	16,305 "," 	18,324 "," 	1,939 "," 	41,618 "," 	99,892 "," 	86,251 "," 	96,299 "," 	83,015 "," 	53,388 "," 	135,752 "
,2011-12,FEBRUARY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,864 "," 	65,898 "," 	81,762 "," 	1,997 "," 	17,388 "," 	19,385 "," 	2,810 "," 	62,048 "," 	166,433 "," 	132,592 "," 	149,410 "," 	120,666 "," 	94,744 "," 	220,230 "
,2011-12,FEBRUARY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,859 "," 	37,958 "," 	49,817 "," 	2,254 "," 	11,091 "," 	13,345 "," 	1,200 "," 	33,942 "," 	78,114 "," 	66,076 "," 	74,988 "," 	63,425 "," 	44,802 "," 	109,060 "
,2011-12,FEBRUARY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,660 "," 	31,152 "," 	39,812 "," 	1,064 "," 	6,812 "," 	7,876 "," 	4,843 "," 	29,706 "," 	63,777 "," 	53,750 "," 	61,643 "," 	51,255 "," 	32,590 "," 	89,662 "
,2011-12,FEBRUARY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,142 "," 	52,602 "," 	65,744 "," 	1,940 "," 	18,027 "," 	19,967 ", 	859 ," 	43,083 "," 	89,701 "," 	75,487 "," 	88,107 "," 	74,195 "," 	45,722 "," 	126,290 "
,2011-12,FEBRUARY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,319 "," 	3,786 "," 	6,105 ", 	552 ," 	2,244 "," 	2,796 ", 	7 ," 	1,864 "," 	1,385 "," 	1,909 "," 	1,383 "," 	1,907 "," 	2,420 "," 	6,138 "
,,,,,,,,,,,,,,,,,,,,
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	799 ," 	3,417 "," 	4,216 ", 	125 ," 	1,156 "," 	1,281 ", 	183 ," 	3,022 "," 	5,656 "," 	4,397 "," 	5,463 "," 	4,217 "," 	4,047 "," 	9,532 "
,2011-12,FEBRUARY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	648 ," 	2,923 "," 	3,571 ", 	73 , 	962 ," 	1,035 ", 	142 ," 	2,579 "," 	4,434 "," 	3,583 "," 	4,180 "," 	3,390 "," 	3,307 "," 	6,706 "
