,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,DECEMBER,,,,England," 	117,728 "," 	412,977 "," 	530,706 "," 	18,969 "," 	127,182 "," 	146,151 "," 	19,459 "," 	477,973 "," 	757,046 "," 	695,750 "," 	710,958 "," 	657,780 "," 	460,450 "," 	1,131,647 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,DECEMBER,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	6,783 "," 	25,770 "," 	32,553 "," 	1,067 "," 	8,464 "," 	9,531 "," 	1,152 "," 	29,105 "," 	36,364 "," 	33,915 "," 	34,977 "," 	32,465 "," 	29,779 "," 	60,775 "
,2010-11,DECEMBER,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	17,414 "," 	59,426 "," 	76,840 "," 	2,716 "," 	15,409 "," 	18,125 "," 	3,260 "," 	78,055 "," 	109,202 "," 	103,203 "," 	103,712 "," 	98,310 "," 	74,161 "," 	169,439 "
,2010-11,DECEMBER,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	12,482 "," 	41,251 "," 	53,733 "," 	2,037 "," 	12,272 "," 	14,309 ", 	792 ," 	53,487 "," 	73,395 "," 	66,105 "," 	70,585 "," 	63,165 "," 	43,984 "," 	109,647 "
,2010-11,DECEMBER,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	9,890 "," 	36,429 "," 	46,319 "," 	1,506 "," 	13,115 "," 	14,621 ", 	627 ," 	39,421 "," 	56,687 "," 	53,007 "," 	55,230 "," 	51,556 "," 	31,178 "," 	82,334 "
,2010-11,DECEMBER,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	12,346 "," 	45,130 "," 	57,476 "," 	2,079 "," 	15,631 "," 	17,710 "," 	3,468 "," 	49,601 "," 	82,109 "," 	78,590 "," 	74,061 "," 	70,609 "," 	51,127 "," 	122,600 "
,2010-11,DECEMBER,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	12,397 "," 	45,286 "," 	57,683 "," 	1,647 "," 	13,417 "," 	15,064 "," 	1,921 "," 	45,003 "," 	85,379 "," 	77,386 "," 	80,579 "," 	74,199 "," 	46,243 "," 	120,391 "
,2010-11,DECEMBER,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	13,713 "," 	51,702 "," 	65,416 "," 	1,989 "," 	13,626 "," 	15,615 "," 	2,733 "," 	67,301 "," 	131,176 "," 	113,051 "," 	115,716 "," 	102,612 "," 	79,699 "," 	190,078 "
,2010-11,DECEMBER,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	9,831 "," 	29,829 "," 	39,660 "," 	2,077 "," 	8,825 "," 	10,902 "," 	1,146 "," 	36,981 "," 	59,733 "," 	54,878 "," 	57,271 "," 	52,733 "," 	35,125 "," 	86,852 "
,2010-11,DECEMBER,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	7,741 "," 	26,784 "," 	34,525 "," 	1,023 "," 	6,486 "," 	7,509 "," 	3,851 "," 	31,851 "," 	53,283 "," 	47,504 "," 	50,906 "," 	45,328 "," 	27,188 "," 	77,322 "
,2010-11,DECEMBER,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	13,025 "," 	46,303 "," 	59,328 "," 	2,212 "," 	16,247 "," 	18,459 ", 	507 ," 	45,434 "," 	69,044 "," 	66,734 "," 	67,247 "," 	65,466 "," 	40,215 "," 	108,006 "
,2010-11,DECEMBER,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,106 "," 	5,067 "," 	7,173 ", 	616 ," 	3,690 "," 	4,306 ", 	2 ," 	1,734 ", 	674 ," 	1,377 ", 	674 ," 	1,337 "," 	1,751 "," 	4,203 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	666 ," 	2,711 "," 	3,377 ", 	133 , 	950 ," 	1,083 ", 	102 ," 	2,942 "," 	3,669 "," 	3,613 "," 	3,540 "," 	3,453 "," 	4,065 "," 	7,286 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	577 ," 	2,377 "," 	2,954 ", 	91 , 	804 , 	895 , 	117 ," 	2,736 "," 	3,111 "," 	3,305 "," 	2,959 "," 	3,184 "," 	2,439 "," 	5,650 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	233 , 	808 ," 	1,041 ", 	14 , 	233 , 	247 , 	12 ," 	1,027 "," 	1,100 "," 	1,143 "," 	1,045 ", 	921 , 	795 ," 	1,855 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	429 ," 	1,887 "," 	2,316 ", 	53 , 	588 , 	641 , 	52 ," 	2,022 "," 	2,443 "," 	2,217 "," 	2,407 "," 	2,037 "," 	1,472 "," 	3,701 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	247 , 	777 ," 	1,024 ", 	56 , 	161 , 	217 , 	2 ," 	1,183 "," 	1,305 ", 	970 ," 	1,283 ", 	963 , 	980 ," 	2,116 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	564 ," 	1,600 "," 	2,164 ", 	97 , 	364 , 	461 , 	388 ," 	2,271 "," 	3,163 "," 	2,915 "," 	3,050 "," 	2,802 "," 	2,139 "," 	5,002 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	429 ," 	1,774 "," 	2,203 ", 	41 , 	612 , 	653 , 	51 ," 	1,682 "," 	2,710 "," 	2,520 "," 	2,558 "," 	2,378 "," 	2,402 "," 	4,410 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	875 ," 	2,791 "," 	3,666 ", 	150 , 	787 , 	937 , 	62 ," 	2,928 "," 	4,110 "," 	3,512 "," 	3,996 "," 	3,475 "," 	4,333 "," 	6,665 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	347 ," 	1,284 "," 	1,631 ", 	62 , 	612 , 	674 , 	106 ," 	1,923 "," 	1,789 "," 	1,546 "," 	1,672 "," 	1,459 "," 	1,464 "," 	2,762 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,282 "," 	4,958 "," 	6,240 ", 	194 ," 	1,603 "," 	1,797 ", 	33 ," 	5,213 "," 	6,886 "," 	6,226 "," 	6,512 "," 	5,942 "," 	5,285 "," 	11,466 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	346 ," 	1,233 "," 	1,579 ", 	75 , 	639 , 	714 , 	130 ," 	1,583 "," 	1,654 "," 	1,442 "," 	1,566 "," 	1,372 "," 	1,227 "," 	2,368 "
,2010-11,DECEMBER,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST, 	788 ," 	3,570 "," 	4,358 ", 	101 ," 	1,111 "," 	1,212 ", 	97 ," 	3,595 "," 	4,424 "," 	4,506 "," 	4,389 "," 	4,479 "," 	3,178 "," 	7,494 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	609 ," 	1,717 "," 	2,326 ", 	138 , 	495 , 	633 , 	19 ," 	3,198 "," 	3,267 "," 	3,300 "," 	3,099 "," 	3,131 "," 	2,881 "," 	5,118 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F7,STOCKPORT PCT, 	737 ," 	2,243 "," 	2,980 ", 	217 , 	508 , 	725 , 	28 ," 	3,246 "," 	4,475 "," 	3,939 "," 	4,355 "," 	3,856 "," 	3,480 "," 	6,348 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HG,"ASHTON, LEIGH AND WIGAN PCT", 	854 ," 	2,916 "," 	3,770 ", 	117 ," 	1,026 "," 	1,143 ", 	131 ," 	3,043 "," 	4,486 "," 	4,487 "," 	4,404 "," 	4,410 "," 	3,204 "," 	7,368 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HP,BLACKPOOL PCT, 	285 ," 	1,594 "," 	1,879 ", 	29 , 	363 , 	392 , 	- 0," 	2,042 "," 	2,506 "," 	2,141 "," 	2,263 "," 	2,012 "," 	1,966 "," 	4,187 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5HQ,BOLTON PCT, 	664 ," 	1,763 "," 	2,427 ", 	123 , 	414 , 	537 , 	10 ," 	2,674 "," 	4,644 "," 	4,384 "," 	4,288 "," 	4,045 "," 	2,821 "," 	6,798 "
,2010-11,DECEMBER,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5J2,WARRINGTON PCT, 	410 ," 	1,403 "," 	1,813 ", 	36 , 	306 , 	342 , 	65 ," 	2,100 "," 	1,643 "," 	2,032 "," 	1,624 "," 	2,008 "," 	1,533 "," 	3,650 "
