,Year,Period,SHA Code,SHA Name,Org Code,Org Name,Elective G&A Ordinary Admissions (FFCEs),Elective G&A Daycase Admissions (FFCEs),Elective G&A Total Admissions (FFCEs),Elective G&A Planned Ordinary Admissions (FFCEs),Elective G&A Planned Daycase Admissions (FFCEs),Elective G&A Planned Total Admissions (FFCEs),Elective G&A Admissions (FFCEs) -NHS Treatment Centres (TCs) ,Total Non-elective G&A Admissions (FFCEs),GP Referrals Made (All specialties) ,GP Referrals Seen (All specialties) ,GP Referrals Made (G&A) ,GP Referrals Seen (G&A) ,Other Referrals Made (G&A) ,All 1st Outpatient Attendances (G&A) 
,2010-11,MAY,,,,England," 	133,688 "," 	429,196 "," 	562,853 "," 	20,663 "," 	128,849 "," 	149,510 "," 	21,679 "," 	453,884 "," 	950,430 "," 	786,495 "," 	902,673 "," 	746,373 "," 	498,549 "," 	1,268,980 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,MAY,,,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY," 	7,753 "," 	25,345 "," 	33,098 "," 	1,243 "," 	8,254 "," 	9,497 "," 	1,018 "," 	28,457 "," 	46,872 "," 	38,700 "," 	45,512 "," 	37,618 "," 	31,626 "," 	67,031 "
,2010-11,MAY,,,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY," 	19,834 "," 	63,193 "," 	83,027 "," 	3,037 "," 	16,811 "," 	19,848 "," 	3,644 "," 	74,053 "," 	139,215 "," 	114,210 "," 	133,815 "," 	109,013 "," 	80,463 "," 	188,141 "
,2010-11,MAY,,,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY," 	14,488 "," 	43,676 "," 	58,164 "," 	2,203 "," 	12,860 "," 	15,063 ", 	791 ," 	49,607 "," 	91,152 "," 	75,008 "," 	88,313 "," 	72,399 "," 	48,469 "," 	124,246 "
,2010-11,MAY,,,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	11,512 "," 	38,539 "," 	50,051 "," 	1,781 "," 	13,567 "," 	15,346 ", 	519 ," 	37,656 "," 	74,462 "," 	63,384 "," 	73,036 "," 	61,227 "," 	33,901 "," 	94,148 "
,2010-11,MAY,,,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY," 	13,653 "," 	47,093 "," 	60,746 "," 	2,040 "," 	15,946 "," 	17,986 "," 	3,211 "," 	47,260 "," 	101,752 "," 	90,541 "," 	92,354 "," 	81,850 "," 	53,759 "," 	138,030 "
,2010-11,MAY,,,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY," 	13,965 "," 	46,292 "," 	60,257 "," 	1,925 "," 	13,792 "," 	15,717 "," 	2,094 "," 	42,342 "," 	101,843 "," 	85,806 "," 	97,773 "," 	82,572 "," 	51,237 "," 	130,762 "
,2010-11,MAY,,,Q36,LONDON STRATEGIC HEALTH AUTHORITY," 	15,859 "," 	56,576 "," 	72,434 "," 	2,215 "," 	14,160 "," 	16,375 "," 	2,716 "," 	64,911 "," 	163,615 "," 	126,208 "," 	148,335 "," 	115,291 "," 	84,861 "," 	210,084 "
,2010-11,MAY,,,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY," 	11,074 "," 	31,129 "," 	42,203 "," 	2,215 "," 	9,093 "," 	11,308 "," 	1,646 "," 	35,868 "," 	80,247 "," 	65,603 "," 	76,456 "," 	62,553 "," 	40,405 "," 	103,946 "
,2010-11,MAY,,,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY," 	8,628 "," 	28,373 "," 	37,001 "," 	1,226 "," 	7,390 "," 	8,616 "," 	5,383 "," 	29,481 "," 	64,637 "," 	51,762 "," 	62,550 "," 	50,098 "," 	29,389 "," 	89,054 "
,2010-11,MAY,,,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY," 	14,730 "," 	46,380 "," 	61,080 "," 	2,237 "," 	15,603 "," 	17,840 ", 	656 ," 	42,637 "," 	85,724 "," 	73,813 "," 	83,618 "," 	72,292 "," 	42,724 "," 	118,342 "
,2010-11,MAY,,,YDD82,NATIONAL COMMISSIONING GROUP," 	2,192 "," 	2,600 "," 	4,792 ", 	541 ," 	1,373 "," 	1,914 ", 	1 ," 	1,612 ", 	911 ," 	1,460 ", 	911 ," 	1,460 "," 	1,715 "," 	5,196 "
,,,,,,,,,,,,,,,,,,,,
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D7,NEWCASTLE PCT, 	838 ," 	2,449 "," 	3,287 ", 	145 , 	915 ," 	1,060 ", 	69 ," 	3,076 "," 	4,765 "," 	4,089 "," 	4,612 "," 	3,948 "," 	4,132 "," 	7,799 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D8,NORTH TYNESIDE PCT, 	616 ," 	2,117 "," 	2,733 ", 	74 , 	740 , 	814 , 	23 ," 	2,626 "," 	4,206 "," 	3,563 "," 	4,019 "," 	3,400 "," 	2,386 "," 	6,037 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5D9,HARTLEPOOL PCT, 	258 , 	864 ," 	1,122 ", 	24 , 	220 , 	244 , 	8 ," 	1,058 "," 	1,435 "," 	1,267 "," 	1,380 "," 	1,224 ", 	872 ," 	1,826 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5E1,STOCKTON-ON-TEES TEACHING PCT, 	461 ," 	1,723 "," 	2,184 ", 	65 , 	514 , 	579 , 	75 ," 	1,846 "," 	3,248 "," 	2,674 "," 	3,215 "," 	2,657 "," 	1,761 "," 	4,101 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5J9,DARLINGTON PCT, 	255 , 	801 ," 	1,056 ", 	34 , 	156 , 	190 , 	1 ," 	1,089 "," 	1,508 "," 	1,226 "," 	1,508 "," 	1,225 "," 	1,171 "," 	2,373 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KF,GATESHEAD PCT, 	671 ," 	1,609 "," 	2,280 ", 	142 , 	423 , 	565 , 	436 ," 	2,171 "," 	4,259 "," 	3,522 "," 	4,118 "," 	3,406 "," 	2,371 "," 	5,838 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KG,SOUTH TYNESIDE PCT, 	454 ," 	1,770 "," 	2,224 ", 	53 , 	597 , 	650 , 	34 ," 	1,693 "," 	3,361 "," 	2,644 "," 	3,206 "," 	2,505 "," 	2,454 "," 	4,616 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KL,SUNDERLAND TEACHING PCT, 	958 ," 	2,835 "," 	3,793 ", 	186 , 	772 , 	958 , 	85 ," 	2,853 "," 	5,242 "," 	3,662 "," 	5,140 "," 	3,621 "," 	4,552 "," 	7,052 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5KM,MIDDLESBROUGH PCT, 	395 ," 	1,291 "," 	1,686 ", 	109 , 	598 , 	707 , 	108 ," 	1,863 "," 	2,331 "," 	1,816 "," 	2,166 "," 	1,714 "," 	1,496 "," 	3,233 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5ND,COUNTY DURHAM PCT," 	1,435 "," 	5,228 "," 	6,663 ", 	209 ," 	1,616 "," 	1,825 ", 	34 ," 	5,315 "," 	8,843 "," 	7,571 "," 	8,621 "," 	7,373 "," 	5,946 "," 	13,115 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,5QR,REDCAR AND CLEVELAND PCT, 	395 ," 	1,203 "," 	1,598 ", 	77 , 	556 , 	633 , 	113 ," 	1,419 "," 	2,092 "," 	1,682 "," 	1,991 "," 	1,607 "," 	1,274 "," 	2,738 "
,2010-11,MAY,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,TAC,NORTHUMBERLAND CARE TRUST," 	1,017 "," 	3,455 "," 	4,472 ", 	125 ," 	1,147 "," 	1,272 ", 	32 ," 	3,448 "," 	5,582 "," 	4,984 "," 	5,536 "," 	4,938 "," 	3,211 "," 	8,303 "
,2010-11,MAY,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,5F5,SALFORD PCT, 	653 ," 	1,815 "," 	2,468 ", 	114 , 	593 , 	707 , 	18 ," 	2,624 "," 	4,769 "," 	3,524 "," 	4,657 "," 	3,429 "," 	2,936 "," 	5,468 "
