,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hospital providers table contains episodes grouped according to the organisation that provided the admitted patient care (normally an NHS trust) within Clinical Commisioning Regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2016-17. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,
Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,," 	19,726,907 "," 	16,546,667 "," 	8,866,101 "," 	10,858,645 "," 	2,161 "," 	5,883,234 "," 	6,394,722 "," 	2,281,365 "," 	1,987,346 ", 	56 , 	34 , 	5 , 	1 , 	53 ," 	1,038,772 "," 	467,777 "," 	324,125 "," 	272,795 "," 	65,428 "," 	68,977 "," 	80,760 "," 	94,883 "," 	111,002 "," 	714,132 "," 	955,361 "," 	989,070 "," 	844,608 "," 	763,529 "," 	943,350 "," 	1,116,050 "," 	1,259,136 "," 	1,263,976 "," 	1,591,728 "," 	1,657,098 "," 	1,602,659 "," 	1,468,328 "," 	1,116,309 "," 	725,408 "," 	7,126,464 "," 	47,614,188 "," 	1,793,752 "," 	293,594 "," 	597,664 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54,North Of England,,,,,," 	6,150,452 "," 	5,189,451 "," 	2,764,393 "," 	3,385,823 ", 	236 ," 	1,873,223 "," 	2,033,492 "," 	739,676 "," 	543,060 ", 	54 , 	34 , 	5 , 	1 , 	53 ," 	288,770 "," 	152,840 "," 	106,187 "," 	87,877 "," 	20,542 "," 	21,645 "," 	26,045 "," 	30,554 "," 	35,714 "," 	230,297 "," 	296,429 "," 	292,628 "," 	245,885 "," 	237,969 "," 	303,579 "," 	362,851 "," 	410,537 "," 	420,460 "," 	519,697 "," 	524,447 "," 	516,100 "," 	460,241 "," 	330,423 "," 	198,873 "," 	2,301,046 "," 	14,287,781 "," 	572,768 "," 	82,327 "," 	164,278 "
Y55,Midlands And East Of England,,,,,," 	5,817,195 "," 	4,863,638 "," 	2,593,767 "," 	3,222,330 "," 	1,098 "," 	1,745,557 "," 	1,770,467 "," 	725,974 "," 	621,640 ", 	59 , 	35 , 	5 , 	1 , 	54 ," 	301,353 "," 	126,529 "," 	82,492 "," 	71,932 "," 	18,218 "," 	19,332 "," 	23,054 "," 	27,807 "," 	33,415 "," 	213,832 "," 	283,590 "," 	280,520 "," 	233,160 "," 	212,846 "," 	269,035 "," 	315,094 "," 	359,741 "," 	368,518 "," 	475,491 "," 	505,957 "," 	480,828 "," 	442,748 "," 	342,008 "," 	225,325 "," 	2,051,701 "," 	13,926,031 "," 	520,350 "," 	98,847 "," 	216,468 "
Y56,London,,,,,," 	2,974,962 "," 	2,513,373 "," 	1,333,801 "," 	1,640,546 ", 	615 ," 	812,437 "," 	1,002,302 "," 	319,884 "," 	378,750 ", 	53 , 	32 , 	5 , 	1 , 	48 ," 	204,173 "," 	88,056 "," 	68,976 "," 	56,205 "," 	12,357 "," 	12,234 "," 	13,117 "," 	14,131 "," 	15,890 "," 	110,292 "," 	168,918 "," 	198,747 "," 	175,477 "," 	138,599 "," 	152,035 "," 	175,099 "," 	186,466 "," 	175,327 "," 	195,476 "," 	193,659 "," 	192,040 "," 	174,647 "," 	131,083 "," 	89,366 "," 	1,062,660 "," 	7,756,081 "," 	243,036 "," 	43,305 "," 	101,112 "
Y57,South Of England,,,,,," 	4,783,738 "," 	3,979,646 "," 	2,173,868 "," 	2,609,658 ", 	212 ," 	1,452,017 "," 	1,587,914 "," 	495,819 "," 	443,896 ", 	56 , 	35 , 	5 , 	1 , 	55 ," 	244,476 "," 	100,352 "," 	66,470 "," 	56,781 "," 	14,311 "," 	15,766 "," 	18,544 "," 	22,389 "," 	25,983 "," 	159,709 "," 	206,417 "," 	217,168 "," 	190,080 "," 	174,109 "," 	218,683 "," 	262,951 "," 	302,349 "," 	299,605 "," 	400,963 "," 	432,937 "," 	413,617 "," 	390,639 "," 	312,778 "," 	211,839 "," 	1,710,872 "," 	11,643,097 "," 	457,598 "," 	69,100 "," 	115,806 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
