,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Providers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The hospital providers table contains episodes grouped according to the organisation that provided the admitted patient care (normally an NHS trust) within Clinical Commisioning Regions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Digital, Hospital Episode Statistics for England. Admitted Patient Care statistics, 2017-18. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zero bed day cases §,,
Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,"20,030,870","16,622,939","9,030,954","10,997,823","2,093","6,100,310","6,256,161","2,327,786","1,938,682",59,34, 	5 ,1,54,"1,011,515","463,559","324,989","280,320","66,212","67,639","79,614","95,781","109,783","700,933","952,153","993,043","862,995","738,107","927,806","1,114,801","1,326,314","1,287,326","1,525,479","1,778,841","1,635,310","1,515,412","1,164,106","761,012","7,125,624","46,738,086","1,925,943","268,949","585,135"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y54,North Of England,,,,,,"6,165,120","5,156,420","2,784,585","3,380,245",295,"1,928,460","1,973,855","724,595","529,510",56,33, 	5 ,1,53,"280,455","153,125","108,330","90,725","21,060","21,180","25,335","30,085","34,705","221,835","293,320","290,980","248,845","223,120","293,010","353,185","418,305","418,490","488,700","555,520","511,250","467,760","336,015","204,280","2,262,760","14,010,990","608,040","70,980","162,215"
Y55,Midlands And East Of England,,,,,,"5,935,965","4,918,420","2,654,825","3,280,180",960,"1,806,050","1,758,340","744,820","609,210",62,34, 	5 ,1,54,"298,555","125,095","82,670","73,335","18,305","18,790","22,565","28,505","33,095","211,210","284,580","283,530","239,700","206,550","267,830","320,770","388,270","379,715","465,440","553,585","505,305","465,610","363,070","239,630","2,084,380","13,623,405","550,620","91,550","211,625"
Y56,London,,,,,,"3,054,215","2,567,900","1,372,375","1,681,250",595,"851,715","994,350","349,800","372,035",58,31, 	5 ,1,49,"196,855","87,030","68,225","58,675","12,550","12,130","13,005","15,125","16,210","109,730","166,700","198,040","179,900","139,325","153,235","178,035","198,060","182,100","192,630","206,200","194,040","178,945","138,615","93,625","1,089,285","7,679,690","268,955","40,320","100,655"
Y57,South Of England,,,,,,"4,875,170","3,979,800","2,218,985","2,655,940",245,"1,514,080","1,529,225","508,565","427,930",58,35, 	5 ,1,56,"235,650","98,310","65,765","57,590","14,295","15,540","18,705","22,070","25,775","158,145","207,545","220,490","194,540","169,095","213,710","262,780","321,640","306,975","378,650","463,470","424,670","403,065","326,400","223,475","1,689,085","11,423,085","498,325","66,085","110,640"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
